max_PM10,max_Precip,max_Precip_cut,max_Precip_cut_model
27,10.8,TRUE,9.2
23,8,TRUE,6.4
31,0.4,FALSE,0
29,10.8,TRUE,9.2
53,0,FALSE,0
67,6,TRUE,4.4
66,0.4,FALSE,0
102,3.2,TRUE,1.6
37,2.6,TRUE,1
90,0,FALSE,0
88,0,FALSE,0
78,0.4,FALSE,0
76,0.2,FALSE,0
67,0,FALSE,0
127,0,FALSE,0
68,0.6,FALSE,0
69,0.8,FALSE,0
82,0,FALSE,0
155,1,FALSE,0
39,4.6,TRUE,3
64,1.4,FALSE,0
95,0,FALSE,0
45,2,TRUE,0.4
20,6.2,TRUE,4.6
30,2.2,TRUE,0.6
27,11,TRUE,9.4
33,2,TRUE,0.4
26,0,FALSE,0
37,14,TRUE,12.4
44,0.2,FALSE,0
29,0,FALSE,0
29,11,TRUE,9.4
22,0,FALSE,0
31,0.8,FALSE,0
31,1.4,FALSE,0
28,0.6,FALSE,0
40,1.6,FALSE,0
43,13.4,TRUE,11.8
27,3.2,TRUE,1.6
33,5.2,TRUE,3.6
36,0,FALSE,0
